model,datatype,sort_mode,rmse,mae,mape,acc@10,acc@20,acc@30,hidden,embedding,num_head,num_block,stop_epoch,train_time,test_time,batch,lr,epoch,train_mode,time,is_test
RankPETA,order,pnn_order,13.822715882388467,10.97414779663086,1.0000250339508057,0.5232067510548524,0.8649789029535865,0.9620253164556962,8,64,4,2,42,gatv2,tft,64,0.001,100,sort,2023-12-05 23:06:37,False
RankPETA,order,pnn_order,13.104008045459555,10.249135971069336,0.9532192349433899,0.6075949367088608,0.8776371308016878,0.9662447257383966,8,64,4,2,99,gatv2,gru,64,0.001,100,sort,2023-12-06 02:09:25,False
RankPETA,order,pnn_order,14.221316196139721,11.260702133178711,1.0520765781402588,0.5274261603375527,0.8523206751054853,0.9746835443037974,8,64,4,2,26,gcn,tft,64,0.0005,1000,sort,2023-12-06 10:52:13,False
RankPETA,order,pnn_order,11.988398984229635,9.38046932220459,0.8421958088874817,0.620253164556962,0.919831223628692,0.9789029535864979,8,64,4,2,47,gcn,tft,64,0.0005,1000,sort,2023-12-06 11:08:10,False
RankPETA,order,pnn_order,12.715294370855124,10.095247268676758,0.8963801860809326,0.5991561181434599,0.8945147679324894,0.9746835443037974,8,64,4,2,50,gcn,tft,64,0.0005,1000,sort,2023-12-06 12:00:29,False
RankPETA,order,pnn_order,13.560465154630977,10.543591499328613,0.9488857388496399,0.5822784810126582,0.8776371308016878,0.9704641350210971,8,64,4,2,50,gcn,tft,64,0.0005,1000,sort,2023-12-06 12:16:37,False
RankPETA,order,pnn_order,15.61806437867777,12.311677932739258,1.1300138235092163,0.4810126582278481,0.8143459915611815,0.9620253164556962,8,64,4,2,46,gcn,tft,64,0.0005,1000,sort,2023-12-06 12:26:58,False
RankPETA,order,pnn_order,12.32046421613149,9.81425666809082,0.9243705868721008,0.5822784810126582,0.9071729957805907,0.9789029535864979,8,64,4,2,38,gatv2,tft,64,0.0005,1000,sort,2023-12-06 19:32:04,False
RankPETA,order,pnn_order,14.228842571955738,11.073593139648438,1.0419573783874512,0.5316455696202531,0.8227848101265823,0.9704641350210971,8,64,4,2,38,gatv2,tft,64,0.0005,1000,sort,2023-12-06 19:37:55,False
RankPETA,order,pnn_order,13.478158306785591,10.589929580688477,0.9181438088417053,0.5485232067510548,0.890295358649789,0.9746835443037974,8,64,4,2,64,gatv2,tft,64,0.0005,1000,sort,2023-12-06 20:17:42,False
RankPETA,order,pnn_order,15.466687244094665,11.944084167480469,1.0690041780471802,0.4936708860759494,0.8312236286919831,0.9578059071729957,8,64,4,2,49,gatv2,tft,64,0.0005,1000,sort,2023-12-06 21:43:37,False
RankPETA,order,pnn_order,15.338665960960036,12.270179748535156,1.1129249334335327,0.4810126582278481,0.8185654008438819,0.9578059071729957,8,64,4,2,69,gatv2,tft,64,0.0005,1000,sort,2023-12-06 22:57:19,False
RankPETA,order,pnn_idx,15.893331681663206,13.164434432983398,1.1501976251602173,0.4092827004219409,0.7805907172995781,0.9620253164556962,8,32,2,2,38,gatv2,tft,64,0.001,1000,sort,2023-12-07 05:57:24,False
RankPETA,order,pnn_idx,15.739080125232114,12.548617362976074,1.149521827697754,0.47257383966244726,0.8143459915611815,0.9451476793248945,8,32,2,2,28,gatv2,tft,64,0.001,1000,sort,2023-12-07 06:57:57,False
RankPETA,order,pnn_idx,16.828086916739636,12.793421745300293,1.1481435298919678,0.48945147679324896,0.7974683544303798,0.9324894514767933,8,32,2,2,36,gatv2,tft,64,0.001,1000,sort,2023-12-07 08:14:45,False
RankPETA,order,pnn_idx,17.589571793783723,14.668516159057617,1.297838807106018,0.35864978902953587,0.7046413502109705,0.9324894514767933,8,32,2,2,22,gatv2,gru,64,0.001,1000,sort,2023-12-07 08:29:21,False
RankPETA,order,pnn_idx,13.584236973073791,10.797492980957031,0.970402181148529,0.5358649789029536,0.8818565400843882,0.9704641350210971,8,32,2,2,24,gatv2,gru,64,0.001,1000,sort,2023-12-07 08:43:45,False
RankPETA,order,pnn_idx,18.36275151796557,14.926155090332031,1.3008103370666504,0.379746835443038,0.70042194092827,0.9282700421940928,8,32,2,2,40,gcn,tft,64,0.001,1000,sort,2023-12-07 10:05:45,False
RankPETA,order,pnn_idx,13.004388508630402,10.426743507385254,0.9873634576797485,0.5569620253164557,0.8818565400843882,0.9789029535864979,8,32,2,2,45,gcn,tft,64,0.001,1000,sort,2023-12-07 11:39:44,False
RankPETA,order,pnn_idx,16.193090703242465,13.011576652526855,1.128791093826294,0.4345991561181435,0.8059071729957806,0.9409282700421941,8,32,2,2,62,gcn,gru,64,0.001,1000,sort,2023-12-07 12:13:09,False
RankPETA,order,pnn_idx,18.257333614547626,15.271984100341797,1.3679929971694946,0.35864978902953587,0.7130801687763713,0.9367088607594937,8,32,2,2,13,gcn,gru,64,0.001,1000,sort,2023-12-07 12:20:54,False
RankPETA,order,pnn_idx,12.474933974219375,9.530935287475586,0.7720397710800171,0.6540084388185654,0.9029535864978903,0.9746835443037974,8,32,2,2,24,gcn,gru,64,0.001,1000,sort,2023-12-16 09:26:11,False
RankPETA,order,pnn_idx,13.19831007341263,10.010358810424805,0.8685160875320435,0.5991561181434599,0.8860759493670886,0.9620253164556962,8,32,2,2,24,gcn,gru,64,0.001,1000,sort,2023-12-16 09:26:39,False
